company,description_blob,ref_id
株式会社林印刷,"【AIエンジニア】株式会社林印刷
職務内容：AIエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：上流工程（要件定義）経験、Python実務経験
給与：年収738万〜979万円（年俸制）　雇用形態：正社員",104-4
吉田ガス株式会社,"【ITアーキテクト】吉田ガス株式会社
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
歓迎要件：SQL実務経験、Python実務経験
給与：月給65万円（賞与なし）　雇用形態：正社員",32-4
有限会社伊藤農林,"【フロントエンドエンジニア】有限会社伊藤農林
仕事内容：フロントエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
歓迎要件：AWSまたはGCP実務経験、SQL実務経験、上流工程（要件定義）経験
給与：年収758万〜888万円（年俸制）　雇用形態：正社員",150-0
松本電気株式会社,"【ヘルプデスク】松本電気株式会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給61万円（賞与なし）　雇用形態：正社員",10-3
有限会社渡辺建設,"【データ基盤エンジニア】有限会社渡辺建設
仕事内容：データ基盤エンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験、Python実務経験
給与：年収736万〜877万円（年俸制）　雇用形態：正社員",80-2
太田建設株式会社,"【テクニカルサポート】太田建設株式会社
職務内容：テクニカルサポートとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験
給与：年収524万〜686万円（年俸制）　雇用形態：正社員",157-0
株式会社石川農林,"【ITアーキテクト】株式会社石川農林
職務内容：ITアーキテクトとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
歓迎要件：Python実務経験、チームでの開発経験、SQL実務経験
給与：月給42万円（賞与なし）　雇用形態：正社員",39-1
合同会社山口水産,"【データサイエンティスト】合同会社山口水産
職務内容：データサイエンティストとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：SQL実務経験、AWSまたはGCP実務経験
給与：月給44万〜64万円+賞与年2回（予定年収527万〜765万円）　雇用形態：正社員",125-0
合同会社石川水産,"【インフラエンジニア】合同会社石川水産
仕事内容：インフラエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上
歓迎要件：上流工程（要件定義）経験、Python実務経験、SQL実務経験、チームでの開発経験
給与：年収724万〜884万円（年俸制）　雇用形態：正社員",64-0
株式会社小林鉱業,"【業務系SE】株式会社小林鉱業
仕事内容：業務系SEとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験
給与：月給42万円（賞与なし）　雇用形態：正社員",35-2
株式会社鈴木運輸,"【データエンジニア】株式会社鈴木運輸
職務内容：データエンジニアとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
求める経験・スキル：上流工程（要件定義）経験
給与：月給61万円（賞与なし）　雇用形態：正社員",46-4
渡辺農林有限会社,"【業務系SE】渡辺農林有限会社
仕事内容：業務系SEとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
尚可条件：チームでの開発経験、SQL実務経験
給与：月給64万〜76万円+賞与年2回（予定年収763万〜913万円）　雇用形態：正社員",100-1
株式会社石川農林,"【ITアーキテクト】株式会社石川農林
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：チームでの開発経験、SQL実務経験、Python実務経験、上流工程（要件定義）経験
給与：月給42万〜59万円+賞与年2回（予定年収503万〜711万円）　雇用形態：正社員",39-0
加藤農林株式会社,"【テクニカルサポート】加藤農林株式会社
仕事内容：テクニカルサポートとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：チームでの開発経験、Python実務経験
給与：月給30万円（賞与なし）　雇用形態：正社員",21-1
高橋保険有限会社,"【データ基盤エンジニア】高橋保険有限会社
職務内容：データ基盤エンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
歓迎要件：Python実務経験、AWSまたはGCP実務経験、SQL実務経験
給与：年収368万〜554万円（年俸制）　雇用形態：正社員",7-1
森通信株式会社,"【アプリケーションエンジニア】森通信株式会社
職務内容：アプリケーションエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
尚可条件：上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給40万〜57万円+賞与年2回（予定年収476万〜686万円）　雇用形態：正社員",153-0
有限会社渡辺保険,"【インフラエンジニア】有限会社渡辺保険
職務内容：インフラエンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：Python実務経験、SQL実務経験、上流工程（要件定義）経験
給与：月給64万円（賞与なし）　雇用形態：正社員",61-3
有限会社伊藤電気,"【セキュリティエンジニア】有限会社伊藤電気
職務内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験、チームでの開発経験、Python実務経験
給与：年収754万〜867万円（年俸制）　雇用形態：正社員",141-3
合同会社中村保険,"【バックエンドエンジニア】合同会社中村保険
仕事内容：バックエンドエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：Python実務経験、チームでの開発経験、上流工程（要件定義）経験
給与：年収371万〜551万円（年俸制）　雇用形態：正社員",19-2
佐藤印刷合同会社,"【データ基盤エンジニア】佐藤印刷合同会社
仕事内容：データ基盤エンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：SQL実務経験、Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給60万〜70万円+賞与年2回（予定年収724万〜834万円）　雇用形態：正社員",142-2
高橋鉱業有限会社,"【バックエンドエンジニア】高橋鉱業有限会社
仕事内容：バックエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：上流工程（要件定義）経験、チームでの開発経験
給与：年収346万〜570万円（年俸制）　雇用形態：正社員",56-1
合同会社斎藤銀行,"【Corporate SRE】合同会社斎藤銀行
仕事内容：Corporate SREとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：上流工程（要件定義）経験、SQL実務経験、Python実務経験
給与：月給63万円（賞与なし）　雇用形態：正社員",155-2
村上情報有限会社,"【セキュリティエンジニア】村上情報有限会社
仕事内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
歓迎要件：上流工程（要件定義）経験、チームでの開発経験、Python実務経験、SQL実務経験
給与：月給31万円（賞与なし）　雇用形態：正社員",129-3
田中建設合同会社,"【セキュリティエンジニア】田中建設合同会社
職務内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
歓迎要件：Python実務経験、上流工程（要件定義）経験
給与：月給40万〜53万円+賞与年2回（予定年収484万〜635万円）　雇用形態：正社員",90-2
伊藤銀行株式会社,"【QAエンジニア】伊藤銀行株式会社
仕事内容：QAエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
尚可条件：AWSまたはGCP実務経験、チームでの開発経験
給与：月給40万〜54万円+賞与年2回（予定年収484万〜653万円）　雇用形態：正社員",neg-14-0
有限会社佐々木建設,"【品質管理】有限会社佐々木建設
職務内容：品質管理としてご活躍いただきます。
必須要件：実務経験3年以上
歓迎要件：上流工程（要件定義）経験、チームでの開発経験
給与：月給43万〜63万円+賞与年2回（予定年収514万〜756万円）　雇用形態：正社員",59-1
中島電気合同会社,"【ヘルプデスク】中島電気合同会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上
尚可条件：チームでの開発経験、SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：月給62万円（賞与なし）　雇用形態：正社員",24-1
斎藤保険合同会社,"【テクニカルサポート】斎藤保険合同会社
仕事内容：テクニカルサポートとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：上流工程（要件定義）経験、Python実務経験、AWSまたはGCP実務経験
給与：年収363万〜530万円（年俸制）　雇用形態：正社員",77-0
有限会社阿部通信,"【ITコンサルタント】有限会社阿部通信
仕事内容：ITコンサルタントとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給27万円（賞与なし）　雇用形態：正社員",70-0
松田保険株式会社,"【テクニカルサポート】松田保険株式会社
仕事内容：テクニカルサポートとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：チームでの開発経験、AWSまたはGCP実務経験
給与：年収752万〜902万円（年俸制）　雇用形態：正社員",33-2
合同会社中村保険,"【バックエンドエンジニア】合同会社中村保険
職務内容：バックエンドエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：SQL実務経験、Python実務経験
給与：月給31万〜46万円+賞与年2回（予定年収371万〜551万円）　雇用形態：正社員",19-3
藤田印刷株式会社,"【クラウドエンジニア】藤田印刷株式会社
仕事内容：クラウドエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎／実務経験3年以上
歓迎要件：SQL実務経験
給与：月給30万円（賞与なし）　雇用形態：正社員",31-2
中島電気合同会社,"【ヘルプデスク】中島電気合同会社
職務内容：ヘルプデスクとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上
歓迎要件：SQL実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",24-3
吉田情報有限会社,"【フロントエンドエンジニア】吉田情報有限会社
職務内容：フロントエンドエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：SQL実務経験、Python実務経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給30万〜50万円+賞与年2回（予定年収357万〜598万円）　雇用形態：正社員",43-0
田中運輸有限会社,"【ヘルプデスク】田中運輸有限会社
職務内容：ヘルプデスクとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：AWSまたはGCP実務経験、チームでの開発経験、Python実務経験、SQL実務経験
給与：月給64万円（賞与なし）　雇用形態：正社員",81-1
斎藤保険株式会社,"【機械学習エンジニア】斎藤保険株式会社
仕事内容：機械学習エンジニアとしてご活躍いただきます。
必須要件：実務経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：上流工程（要件定義）経験
給与：月給43万〜53万円+賞与年2回（予定年収521万〜632万円）　雇用形態：正社員",9-1
山口運輸有限会社,"【社内SE】山口運輸有限会社
仕事内容：社内SEとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験
給与：年収502万〜687万円（年俸制）　雇用形態：正社員",110-4
清水情報有限会社,"【セキュリティエンジニア】清水情報有限会社
職務内容：セキュリティエンジニアとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：AWSまたはGCP実務経験、Python実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",neg-4-0
前田運輸有限会社,"【フロントエンドエンジニア】前田運輸有限会社
職務内容：フロントエンドエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：AWSまたはGCP実務経験、チームでの開発経験、SQL実務経験、上流工程（要件定義）経験
給与：年収518万〜717万円（年俸制）　雇用形態：正社員",131-1
