job_title,company_name,salary_range_text,description_text,requirements_text,preferred_text,employment_type,posting_id
プリセールス,合同会社長谷川食品,月給44万円（賞与なし）,仕事内容：プリセールスとしてご活躍いただきます。,応募資格：実務経験3年以上,求める経験・スキル：チームでの開発経験、SQL実務経験、AWSまたはGCP実務経験,正社員,78-1
サーバーエンジニア,株式会社吉田電気,月給27万円（賞与なし）,仕事内容：サーバーエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上／SQL・データ抽出経験3年以上,求める経験・スキル：上流工程（要件定義）経験,正社員,112-0
プリセールス,合同会社長谷川食品,月給44万〜53万円+賞与年2回（予定年収527万〜640万円）,仕事内容：プリセールスとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,尚可条件：AWSまたはGCP実務経験、SQL実務経験、上流工程（要件定義）経験,正社員,78-3
ネットワークエンジニア,有限会社鈴木通信,月給40万〜54万円+賞与年2回（予定年収478万〜654万円）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,応募資格：実務経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験,正社員,68-1
AIエンジニア,橋本保険有限会社,年収729万〜940万円（年俸制）,仕事内容：AIエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験,正社員,154-1
バックエンドエンジニア,伊藤電気株式会社,月給41万〜52万円+賞与年2回（予定年収488万〜628万円）,仕事内容：バックエンドエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、SQL実務経験,正社員,72-2
クラウドエンジニア,株式会社西村建設,年収344万〜511万円（年俸制）,仕事内容：クラウドエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：チームでの開発経験、Python実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,58-0
ヘルプデスク,青木鉱業有限会社,年収332万〜507万円（年俸制）,職務内容：ヘルプデスクとしてご活躍いただきます。,必須要件：実務経験1年以上,尚可条件：上流工程（要件定義）経験,正社員,60-0
ITコンサルタント,合同会社田中電気,年収721万〜842万円（年俸制）,仕事内容：ITコンサルタントとしてご活躍いただきます。,必須要件：実務経験5年以上+チームリード経験,歓迎要件：SQL実務経験、チームでの開発経験,正社員,136-1
フロントエンドエンジニア,渡辺銀行合同会社,年収323万〜572万円（年俸制）,仕事内容：フロントエンドエンジニアとしてご活躍いただきます。,必須要件：実務経験1年以上,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験,正社員,62-2
バックエンドエンジニア,合同会社中村保険,月給31万円（賞与なし）,職務内容：バックエンドエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,歓迎要件：Python実務経験、SQL実務経験,正社員,19-0
ヘルプデスク,松本電気株式会社,月給61万円（賞与なし）,仕事内容：ヘルプデスクとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：Python実務経験、上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験,正社員,10-2
クラウドエンジニア,藤田運輸有限会社,年収322万〜500万円（年俸制）,仕事内容：クラウドエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験,正社員,84-0
社内SE,株式会社鈴木電気,月給29万円（賞与なし）,職務内容：社内SEとしてご活躍いただきます。,必須要件：実務経験1年以上,歓迎要件：チームでの開発経験,正社員,51-1
サーバーエンジニア,吉田情報株式会社,年収512万〜709万円（年俸制）,仕事内容：サーバーエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：SQL実務経験、AWSまたはGCP実務経験,正社員,105-0
SRE,株式会社阿部情報,年収764万〜915万円（年俸制）,職務内容：SREとしてご活躍いただきます。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験,正社員,40-0
テクニカルサポート,合同会社藤原食品,月給62万〜79万円+賞与年2回（予定年収739万〜943万円）,仕事内容：テクニカルサポートとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,求める経験・スキル：Python実務経験,正社員,103-0
セキュリティエンジニア,有限会社伊藤電気,月給63万〜72万円+賞与年2回（予定年収754万〜867万円）,職務内容：セキュリティエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：SQL実務経験、Python実務経験、チームでの開発経験,正社員,141-2
サーバーエンジニア,株式会社石川運輸,年収367万〜493万円（年俸制）,仕事内容：サーバーエンジニアとしてご活躍いただきます。,必須要件：実務経験1年以上,尚可条件：SQL実務経験、チームでの開発経験、AWSまたはGCP実務経験,正社員,1-0
テストエンジニア,林電気有限会社,月給61万〜81万円+賞与年2回（予定年収736万〜977万円）,仕事内容：テストエンジニアとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：チームでの開発経験、AWSまたはGCP実務経験,正社員,28-3
フロントエンドエンジニア,合同会社中村水産,年収485万〜599万円（年俸制）,仕事内容：フロントエンドエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,36-4
QAエンジニア,有限会社加藤運輸,月給65万〜83万円+賞与年2回（予定年収775万〜996万円）,職務内容：QAエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,121-2
テストエンジニア,林電気有限会社,年収736万〜977万円（年俸制）,職務内容：テストエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,求める経験・スキル：上流工程（要件定義）経験、SQL実務経験、AWSまたはGCP実務経験,正社員,28-2
テクニカルサポート,合同会社高橋鉱業,月給29万〜45万円+賞与年2回（予定年収352万〜539万円）,仕事内容：テクニカルサポートとしてご活躍いただきます。,応募資格：実務経験1年以上,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験、SQL実務経験、Python実務経験,正社員,152-3
SRE,有限会社斉藤保険,年収325万〜549万円（年俸制）,仕事内容：SREとしてご活躍いただきます。,必須要件：実務経験1年以上,尚可条件：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験,正社員,37-2
QAエンジニア,鈴木保険株式会社,年収512万〜747万円（年俸制）,仕事内容：QAエンジニアとしてご活躍いただきます。,応募資格：実務経験3年以上,歓迎要件：Python実務経験、AWSまたはGCP実務経験,正社員,118-3
AIエンジニア,伊藤ガス有限会社,年収499万〜612万円（年俸制）,職務内容：AIエンジニアとしてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,50-2
セキュリティエンジニア,合同会社吉田情報,月給41万〜53万円+賞与年2回（予定年収488万〜641万円）,仕事内容：セキュリティエンジニアとしてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験、チームでの開発経験,正社員,107-4
データエンジニア,株式会社鈴木運輸,年収735万〜906万円（年俸制）,仕事内容：データエンジニアとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：AWSまたはGCP実務経験、Python実務経験,正社員,46-0
社内SE,株式会社中島建設,年収367万〜537万円（年俸制）,仕事内容：社内SEとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：Python実務経験、チームでの開発経験、上流工程（要件定義）経験、SQL実務経験,正社員,0-1
ネットワークエンジニア,株式会社阿部電気,月給30万円（賞与なし）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,必須要件：実務経験1年以上,尚可条件：チームでの開発経験、SQL実務経験、上流工程（要件定義）経験,正社員,99-4
ソリューションアーキテクト,株式会社太田建設,年収504万〜713万円（年俸制）,仕事内容：ソリューションアーキテクトとしてご活躍いただきます。,応募資格：実務経験3年以上,求める経験・スキル：Python実務経験、AWSまたはGCP実務経験,正社員,151-1
QAエンジニア,合同会社阿部運輸,年収481万〜652万円（年俸制）,職務内容：QAエンジニアとしてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,尚可条件：SQL実務経験、Python実務経験、チームでの開発経験,正社員,53-3
ITアーキテクト,吉田ガス株式会社,月給65万〜75万円+賞与年2回（予定年収778万〜905万円）,職務内容：ITアーキテクトとしてご活躍いただきます。,必須要件：実務経験5年以上+チームリード経験,尚可条件：チームでの開発経験、SQL実務経験、上流工程（要件定義）経験、Python実務経験,正社員,32-0
品質管理,田中食品有限会社,月給40万〜51万円+賞与年2回（予定年収480万〜609万円）,仕事内容：品質管理としてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,尚可条件：AWSまたはGCP実務経験、チームでの開発経験、Python実務経験、SQL実務経験,正社員,146-2
サーバーエンジニア,株式会社吉田電気,年収322万〜484万円（年俸制）,職務内容：サーバーエンジニアとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：Python実務経験、AWSまたはGCP実務経験、チームでの開発経験、SQL実務経験,正社員,112-2
プリセールス,合同会社長谷川食品,月給44万円（賞与なし）,職務内容：プリセールスとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、SQL実務経験,正社員,78-2
データ基盤エンジニア,高橋保険有限会社,月給31万円（賞与なし）,職務内容：データ基盤エンジニアとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：Python実務経験,正社員,7-3
品質管理,合同会社林通信,月給27万〜45万円+賞与年2回（予定年収320万〜537万円）,仕事内容：品質管理としてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：上流工程（要件定義）経験、チームでの開発経験,正社員,69-4
セキュリティエンジニア,田中建設合同会社,月給40万〜53万円+賞与年2回（予定年収484万〜635万円）,仕事内容：セキュリティエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上,歓迎要件：SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,90-1
機械学習エンジニア,株式会社山田食品,月給30万〜46万円+賞与年2回（予定年収363万〜546万円）,職務内容：機械学習エンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,尚可条件：SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験、Python実務経験,正社員,18-2
サーバーエンジニア,小林鉱業合同会社,月給63万円（賞与なし）,仕事内容：サーバーエンジニアとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：チームでの開発経験、Python実務経験、AWSまたはGCP実務経験、SQL実務経験,正社員,25-0
プリセールス,合同会社長谷川食品,月給44万〜53万円+賞与年2回（予定年収527万〜640万円）,職務内容：プリセールスとしてご活躍いただきます。,応募資格：実務経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験、Python実務経験,正社員,78-0
Webエンジニア,株式会社小林印刷,月給40万〜56万円+賞与年2回（予定年収476万〜667万円）,仕事内容：Webエンジニアとしてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,8-2
Webエンジニア,株式会社小林印刷,月給40万〜56万円+賞与年2回（予定年収476万〜667万円）,仕事内容：Webエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験,正社員,8-1
QAエンジニア,伊藤通信有限会社,月給42万円（賞与なし）,仕事内容：QAエンジニアとしてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：SQL実務経験、チームでの開発経験,正社員,5-1
プリセールス,株式会社長谷川ガス,年収516万〜696万円（年俸制）,仕事内容：プリセールスとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,求める経験・スキル：上流工程（要件定義）経験,正社員,97-2
AIエンジニア,株式会社林印刷,月給62万円（賞与なし）,職務内容：AIエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：上流工程（要件定義）経験,正社員,104-3
ネットワークエンジニア,株式会社松本情報,月給31万〜42万円+賞与年2回（予定年収376万〜503万円）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,必須要件：実務経験1年以上／SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験、上流工程（要件定義）経験、SQL実務経験,正社員,75-1
クラウドエンジニア,株式会社西村建設,月給29万円（賞与なし）,職務内容：クラウドエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,歓迎要件：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験,正社員,58-1
テクニカルサポート,合同会社高橋鉱業,月給29万円（賞与なし）,仕事内容：テクニカルサポートとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：Python実務経験、AWSまたはGCP実務経験、SQL実務経験,正社員,152-1
ネットワークエンジニア,合同会社山本運輸,年収354万〜589万円（年俸制）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：SQL実務経験,正社員,34-4
アプリケーションエンジニア,有限会社渡辺運輸,月給42万円（賞与なし）,仕事内容：アプリケーションエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：チームでの開発経験、SQL実務経験、Python実務経験,正社員,14-0
クラウドエンジニア,藤田運輸有限会社,月給27万〜42万円+賞与年2回（予定年収322万〜500万円）,職務内容：クラウドエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,84-1
社内SE,株式会社鈴木電気,年収345万〜531万円（年俸制）,職務内容：社内SEとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、SQL実務経験、チームでの開発経験,正社員,51-3
ネットワークエンジニア,高橋印刷株式会社,年収483万〜651万円（年俸制）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,応募資格：実務経験3年以上,歓迎要件：上流工程（要件定義）経験、SQL実務経験、Python実務経験,正社員,15-0
バックエンドエンジニア,加藤食品合同会社,月給62万円（賞与なし）,仕事内容：バックエンドエンジニアとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上,歓迎要件：上流工程（要件定義）経験、チームでの開発経験,正社員,111-1
サーバーエンジニア,小林鉱業合同会社,年収751万〜874万円（年俸制）,職務内容：サーバーエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験、Python実務経験,正社員,25-2
データエンジニア,橋本電気株式会社,月給61万〜76万円+賞与年2回（予定年収735万〜906万円）,仕事内容：データエンジニアとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,neg-3-0
テストエンジニア,林電気有限会社,月給61万〜81万円+賞与年2回（予定年収736万〜977万円）,仕事内容：テストエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験、Python実務経験,正社員,28-1
ソリューションアーキテクト,渡辺水産株式会社,月給27万円（賞与なし）,職務内容：ソリューションアーキテクトとしてご活躍いただきます。,応募資格：実務経験1年以上,歓迎要件：上流工程（要件定義）経験,正社員,82-0
セキュリティエンジニア,有限会社伊藤電気,年収754万〜867万円（年俸制）,職務内容：セキュリティエンジニアとしてご活躍いただきます。,必須要件：実務経験5年以上+チームリード経験,歓迎要件：上流工程（要件定義）経験,正社員,141-4
セキュリティエンジニア,合同会社吉田情報,年収488万〜641万円（年俸制）,仕事内容：セキュリティエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上,歓迎要件：Python実務経験,正社員,107-1
ヘルプデスク,株式会社鈴木水産,月給30万〜41万円+賞与年2回（予定年収354万〜487万円）,仕事内容：ヘルプデスクとしてご活躍いただきます。,必須要件：実務経験1年以上,求める経験・スキル：SQL実務経験、Python実務経験、チームでの開発経験,正社員,47-1
社内SE,橋本運輸合同会社,年収760万〜903万円（年俸制）,職務内容：社内SEとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：Python実務経験、チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,16-0
クラウドエンジニア,藤田印刷株式会社,月給30万〜44万円+賞与年2回（予定年収366万〜533万円）,仕事内容：クラウドエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験、SQL実務経験,正社員,31-3
プリセールス,伊藤運輸合同会社,年収735万〜905万円（年俸制）,職務内容：プリセールスとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：SQL実務経験、チームでの開発経験、Python実務経験、AWSまたはGCP実務経験,正社員,123-0
システムアーキテクト,福田農林有限会社,月給64万〜75万円+賞与年2回（予定年収774万〜905万円）,仕事内容：システムアーキテクトとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験／実務経験3年以上,歓迎要件：チームでの開発経験,正社員,102-0
ヘルプデスク,鈴木建設有限会社,月給31万〜49万円+賞与年2回（予定年収370万〜591万円）,仕事内容：ヘルプデスクとしてご活躍いただきます。,応募資格：実務経験1年以上,求める経験・スキル：上流工程（要件定義）経験,正社員,48-1
ITコンサルタント,合同会社田中電気,月給60万〜70万円+賞与年2回（予定年収721万〜842万円）,職務内容：ITコンサルタントとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：チームでの開発経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験,正社員,136-0
データサイエンティスト,有限会社佐藤銀行,年収369万〜540万円（年俸制）,仕事内容：データサイエンティストとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：チームでの開発経験、SQL実務経験、上流工程（要件定義）経験,正社員,93-0
情報システム,森情報合同会社,月給61万〜71万円+賞与年2回（予定年収733万〜849万円）,仕事内容：情報システムとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験、Python実務経験,正社員,127-4
フロントエンドエンジニア,吉田情報有限会社,月給30万〜50万円+賞与年2回（予定年収357万〜598万円）,職務内容：フロントエンドエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,尚可条件：SQL実務経験,正社員,43-2
機械学習エンジニア,斎藤保険株式会社,年収521万〜632万円（年俸制）,仕事内容：機械学習エンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上,求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,9-0
AIエンジニア,山本電気有限会社,月給44万〜54万円+賞与年2回（予定年収523万〜643万円）,職務内容：AIエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上／実務経験5年以上+チームリード経験,求める経験・スキル：Python実務経験、SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,140-1
バックエンドエンジニア,石川ガス株式会社,月給31万〜40万円+賞与年2回（予定年収373万〜478万円）,仕事内容：バックエンドエンジニアとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,143-0
セキュリティエンジニア,村上情報有限会社,年収373万〜580万円（年俸制）,職務内容：セキュリティエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上,尚可条件：SQL実務経験、上流工程（要件定義）経験,正社員,129-0
アプリケーションエンジニア,有限会社渡辺運輸,月給42万円（賞与なし）,仕事内容：アプリケーションエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上／実務経験5年以上+チームリード経験,歓迎要件：上流工程（要件定義）経験,正社員,14-1
ネットワークエンジニア,田中印刷有限会社,月給30万〜39万円+賞与年2回（予定年収357万〜463万円）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：チームでの開発経験、SQL実務経験,正社員,147-1
Webエンジニア,松本情報株式会社,月給65万円（賞与なし）,仕事内容：Webエンジニアとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：上流工程（要件定義）経験、SQL実務経験,正社員,29-1
セキュリティエンジニア,合同会社石井ガス,月給62万円（賞与なし）,仕事内容：セキュリティエンジニアとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：Python実務経験、AWSまたはGCP実務経験,正社員,130-1
フロントエンドエンジニア,渡辺銀行合同会社,年収323万〜572万円（年俸制）,仕事内容：フロントエンドエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎／実務経験3年以上,歓迎要件：チームでの開発経験、Python実務経験,正社員,62-0
品質管理,有限会社後藤電気,月給44万〜57万円+賞与年2回（予定年収522万〜680万円）,仕事内容：品質管理としてご活躍いただきます。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験,正社員,91-2
ソリューションアーキテクト,株式会社藤原農林,年収725万〜932万円（年俸制）,仕事内容：ソリューションアーキテクトとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：AWSまたはGCP実務経験、Python実務経験、SQL実務経験,正社員,66-1
セキュリティエンジニア,有限会社伊藤電気,月給63万円（賞与なし）,仕事内容：セキュリティエンジニアとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験,正社員,141-1
業務系SE,有限会社清水通信,年収529万〜655万円（年俸制）,仕事内容：業務系SEとしてご活躍いただきます。,応募資格：実務経験3年以上,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,74-4
品質管理,株式会社長谷川保険,月給28万円（賞与なし）,職務内容：品質管理としてご活躍いただきます。,応募資格：実務経験1年以上,歓迎要件：チームでの開発経験、上流工程（要件定義）経験,正社員,20-0
ソリューションアーキテクト,合同会社田中運輸,月給61万円（賞与なし）,職務内容：ソリューションアーキテクトとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：上流工程（要件定義）経験、SQL実務経験,正社員,4-0
社内SE,橋本運輸合同会社,月給63万〜75万円+賞与年2回（予定年収760万〜903万円）,職務内容：社内SEとしてご活躍いただきます。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：上流工程（要件定義）経験、SQL実務経験,正社員,16-1
機械学習エンジニア,株式会社山田食品,年収363万〜546万円（年俸制）,職務内容：機械学習エンジニアとしてご活躍いただきます。,必須要件：実務経験1年以上,求める経験・スキル：Python実務経験,正社員,18-3
フロントエンドエンジニア,株式会社橋本食品,年収485万〜703万円（年俸制）,仕事内容：フロントエンドエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上,歓迎要件：チームでの開発経験、上流工程（要件定義）経験、SQL実務経験,正社員,158-3
