position_name,employer,comp_text,duties_text,must_have_text,nice_to_have_text,emp_type,posting_ref
ITコンサルタント,有限会社阿部通信,月給27万円（賞与なし）,職務内容：ITコンサルタントに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,70-3
QAエンジニア,有限会社加藤運輸,月給65万円（賞与なし）,職務内容：QAエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：チームでの開発経験、SQL実務経験,正社員,121-0
ヘルプデスク,中島電気合同会社,年収745万〜937万円（年俸制）,仕事内容：ヘルプデスクに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,24-4
テクニカルサポート,合同会社高橋鉱業,月給29万円（賞与なし）,仕事内容：テクニカルサポートに関する業務全般。,応募資格：実務経験1年以上／SQL・データ抽出経験3年以上,歓迎要件：上流工程（要件定義）経験、チームでの開発経験,正社員,152-0
ITアーキテクト,吉田ガス株式会社,月給65万〜75万円+賞与年2回（予定年収778万〜905万円）,仕事内容：ITアーキテクトに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,歓迎要件：チームでの開発経験,正社員,32-3
情報システム,有限会社岡本建設,月給40万〜53万円+賞与年2回（予定年収475万〜634万円）,職務内容：情報システムに関する業務全般。,応募資格：実務経験3年以上,求める経験・スキル：SQL実務経験、チームでの開発経験、AWSまたはGCP実務経験,正社員,13-4
バックエンドエンジニア,株式会社橋本印刷,月給62万円（賞与なし）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：Python実務経験、SQL実務経験、チームでの開発経験,正社員,6-1
データ基盤エンジニア,佐藤印刷合同会社,年収724万〜834万円（年俸制）,仕事内容：データ基盤エンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：Python実務経験,正社員,142-4
情報システム,青木建設有限会社,月給63万〜78万円+賞与年2回（予定年収756万〜933万円）,職務内容：情報システムに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験,正社員,106-2
業務系SE,有限会社清水通信,月給44万円（賞与なし）,職務内容：業務系SEに関する業務全般。,必須要件：実務経験3年以上,尚可条件：SQL実務経験、Python実務経験、上流工程（要件定義）経験,正社員,74-0
品質管理,有限会社佐々木建設,月給43万〜63万円+賞与年2回（予定年収514万〜756万円）,仕事内容：品質管理に関する業務全般。,応募資格：実務経験3年以上／実務経験5年以上+チームリード経験,尚可条件：SQL実務経験,正社員,59-0
バックエンドエンジニア,高橋鉱業有限会社,月給29万円（賞与なし）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験、上流工程（要件定義）経験,正社員,56-3
業務系SE,有限会社清水通信,年収529万〜655万円（年俸制）,仕事内容：業務系SEに関する業務全般。,応募資格：実務経験3年以上,歓迎要件：Python実務経験、チームでの開発経験、上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,74-1
QAエンジニア,伊藤通信有限会社,年収507万〜678万円（年俸制）,職務内容：QAエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：上流工程（要件定義）経験、SQL実務経験,正社員,5-2
システムアーキテクト,福田農林有限会社,月給64万円（賞与なし）,職務内容：システムアーキテクトに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：チームでの開発経験、AWSまたはGCP実務経験,正社員,102-2
QAエンジニア,清水食品有限会社,月給40万円（賞与なし）,仕事内容：QAエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,132-0
業務系SE,伊藤建設合同会社,月給27万円（賞与なし）,職務内容：業務系SEに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：SQL実務経験、上流工程（要件定義）経験,正社員,38-1
バックエンドエンジニア,吉田ガス合同会社,月給28万円（賞与なし）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：実務経験1年以上／SQL・データ抽出経験3年以上,歓迎要件：Python実務経験、SQL実務経験,正社員,52-0
フロントエンドエンジニア,前田運輸有限会社,月給43万〜60万円+賞与年2回（予定年収518万〜717万円）,職務内容：フロントエンドエンジニアに関する業務全般。,必須要件：実務経験3年以上,歓迎要件：Python実務経験、SQL実務経験,正社員,131-2
業務系SE,村上通信有限会社,月給44万〜60万円+賞与年2回（予定年収523万〜715万円）,仕事内容：業務系SEに関する業務全般。,必須要件：実務経験3年以上,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験、SQL実務経験,正社員,11-4
ネットワークエンジニア,合同会社山本運輸,年収354万〜589万円（年俸制）,仕事内容：ネットワークエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：チームでの開発経験、Python実務経験,正社員,34-0
QAエンジニア,合同会社阿部運輸,年収481万〜652万円（年俸制）,職務内容：QAエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：チームでの開発経験、Python実務経験,正社員,53-2
バックエンドエンジニア,伊藤電気株式会社,年収488万〜628万円（年俸制）,職務内容：バックエンドエンジニアに関する業務全般。,必須要件：実務経験3年以上,求める経験・スキル：Python実務経験、SQL実務経験,正社員,72-1
業務系SE,渡辺農林有限会社,月給64万〜76万円+賞与年2回（予定年収763万〜913万円）,職務内容：業務系SEに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,歓迎要件：チームでの開発経験、上流工程（要件定義）経験、SQL実務経験、Python実務経験,正社員,100-0
セキュリティエンジニア,合同会社吉田情報,月給41万円（賞与なし）,職務内容：セキュリティエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,尚可条件：Python実務経験、上流工程（要件定義）経験,正社員,107-3
クラウドエンジニア,藤田運輸有限会社,年収322万〜500万円（年俸制）,職務内容：クラウドエンジニアに関する業務全般。,必須要件：実務経験1年以上,歓迎要件：上流工程（要件定義）経験,正社員,84-2
ネットワークエンジニア,株式会社松本情報,年収376万〜503万円（年俸制）,仕事内容：ネットワークエンジニアに関する業務全般。,必須要件：実務経験1年以上／実務経験3年以上,尚可条件：Python実務経験、チームでの開発経験、SQL実務経験、上流工程（要件定義）経験,正社員,75-0
QAエンジニア,株式会社加藤印刷,月給29万円（賞与なし）,職務内容：QAエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,54-1
インフラエンジニア,有限会社渡辺保険,年収767万〜1005万円（年俸制）,仕事内容：インフラエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：Python実務経験、SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,61-1
SRE,株式会社伊藤銀行,月給60万〜77万円+賞与年2回（予定年収721万〜921万円）,仕事内容：SREに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,尚可条件：上流工程（要件定義）経験,正社員,135-2
社内SE,株式会社鈴木電気,月給29万〜44万円+賞与年2回（予定年収345万〜531万円）,職務内容：社内SEに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上,尚可条件：Python実務経験,正社員,51-2
フロントエンドエンジニア,合同会社中村水産,月給40万〜50万円+賞与年2回（予定年収485万〜599万円）,職務内容：フロントエンドエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,36-2
ITコンサルタント,合同会社後藤印刷,月給62万〜78万円+賞与年2回（予定年収744万〜930万円）,仕事内容：ITコンサルタントに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、チームでの開発経験、SQL実務経験,正社員,159-1
品質管理,有限会社後藤電気,月給44万〜57万円+賞与年2回（予定年収522万〜680万円）,職務内容：品質管理に関する業務全般。,必須要件：実務経験3年以上,歓迎要件：Python実務経験,正社員,91-0
データ基盤エンジニア,佐藤印刷合同会社,月給60万〜70万円+賞与年2回（予定年収724万〜834万円）,仕事内容：データ基盤エンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,142-1
AIエンジニア,山崎電気合同会社,年収380万〜564万円（年俸制）,仕事内容：AIエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,尚可条件：Python実務経験,正社員,101-0
クラウドエンジニア,藤田印刷株式会社,月給30万円（賞与なし）,職務内容：クラウドエンジニアに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,31-1
バックエンドエンジニア,加藤食品合同会社,年収739万〜896万円（年俸制）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、SQL実務経験,正社員,111-0
ヘルプデスク,山本情報株式会社,月給61万〜79万円+賞与年2回（予定年収730万〜949万円）,職務内容：ヘルプデスクに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,尚可条件：上流工程（要件定義）経験,正社員,134-2
インフラエンジニア,株式会社村上電気,月給41万円（賞与なし）,職務内容：インフラエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験,正社員,138-1
Webエンジニア,株式会社伊藤通信,月給28万円（賞与なし）,職務内容：Webエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験、チームでの開発経験、Python実務経験,正社員,3-1
社内SE,橋本運輸合同会社,月給63万円（賞与なし）,職務内容：社内SEに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：チームでの開発経験,正社員,16-4
セキュリティエンジニア,山本保険株式会社,月給44万円（賞与なし）,仕事内容：セキュリティエンジニアに関する業務全般。,必須要件：実務経験3年以上／実務経験5年以上+チームリード経験,求める経験・スキル：SQL実務経験、AWSまたはGCP実務経験、Python実務経験,正社員,98-1
ソリューションアーキテクト,有限会社藤原運輸,年収507万〜748万円（年俸制）,仕事内容：ソリューションアーキテクトに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験、Python実務経験、SQL実務経験,正社員,neg-2-0
ソリューションアーキテクト,渡辺水産株式会社,月給27万円（賞与なし）,職務内容：ソリューションアーキテクトに関する業務全般。,必須要件：実務経験1年以上／SQL・データ抽出経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、チームでの開発経験,正社員,82-3
情報システム,有限会社渡辺ガス,月給41万円（賞与なし）,仕事内容：情報システムに関する業務全般。,応募資格：実務経験3年以上,歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,76-0
ヘルプデスク,株式会社鈴木水産,年収354万〜487万円（年俸制）,仕事内容：ヘルプデスクに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,47-2
品質管理,合同会社林通信,年収320万〜537万円（年俸制）,仕事内容：品質管理に関する業務全般。,応募資格：実務経験1年以上,尚可条件：Python実務経験、チームでの開発経験,正社員,69-3
AIエンジニア,山崎電気合同会社,月給32万円（賞与なし）,仕事内容：AIエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,尚可条件：SQL実務経験、Python実務経験、AWSまたはGCP実務経験,正社員,101-2
セキュリティエンジニア,合同会社鈴木情報,月給61万〜72万円+賞与年2回（予定年収735万〜866万円）,職務内容：セキュリティエンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験、Python実務経験、AWSまたはGCP実務経験,正社員,117-2
ITコンサルタント,有限会社阿部通信,月給27万〜47万円+賞与年2回（予定年収324万〜561万円）,仕事内容：ITコンサルタントに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：上流工程（要件定義）経験、SQL実務経験,正社員,70-2
QAエンジニア,伊藤鉱業合同会社,月給27万〜45万円+賞与年2回（予定年収326万〜536万円）,職務内容：QAエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,49-2
機械学習エンジニア,斎藤保険株式会社,月給43万〜53万円+賞与年2回（予定年収521万〜632万円）,仕事内容：機械学習エンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,9-2
プリセールス,伊藤運輸合同会社,年収735万〜905万円（年俸制）,職務内容：プリセールスに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験、Python実務経験,正社員,123-2
ソリューションアーキテクト,渡辺水産株式会社,月給27万円（賞与なし）,職務内容：ソリューションアーキテクトに関する業務全般。,応募資格：実務経験1年以上,尚可条件：チームでの開発経験,正社員,82-2
セキュリティエンジニア,合同会社木村電気,月給41万円（賞与なし）,仕事内容：セキュリティエンジニアに関する業務全般。,応募資格：実務経験3年以上,尚可条件：AWSまたはGCP実務経験、チームでの開発経験,正社員,113-0
サーバーエンジニア,株式会社吉田電気,月給27万〜40万円+賞与年2回（予定年収322万〜484万円）,職務内容：サーバーエンジニアに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験、Python実務経験,正社員,112-1
バックエンドエンジニア,株式会社山田保険,年収334万〜532万円（年俸制）,職務内容：バックエンドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,126-1
AIエンジニア,伊藤ガス有限会社,年収499万〜612万円（年俸制）,職務内容：AIエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,尚可条件：Python実務経験,正社員,50-1
サーバーエンジニア,株式会社石川運輸,月給31万円（賞与なし）,職務内容：サーバーエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：チームでの開発経験,正社員,1-2
サーバーエンジニア,株式会社吉田電気,月給27万円（賞与なし）,職務内容：サーバーエンジニアに関する業務全般。,必須要件：実務経験1年以上,尚可条件：SQL実務経験、Python実務経験、上流工程（要件定義）経験,正社員,112-4
セキュリティエンジニア,佐藤通信有限会社,月給61万〜82万円+賞与年2回（予定年収735万〜983万円）,職務内容：セキュリティエンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：上流工程（要件定義）経験,正社員,65-3
テクニカルサポート,合同会社藤原食品,月給62万〜79万円+賞与年2回（予定年収739万〜943万円）,仕事内容：テクニカルサポートに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／SQL・データ抽出経験3年以上,尚可条件：AWSまたはGCP実務経験、Python実務経験、SQL実務経験,正社員,103-2
ITコンサルタント,株式会社伊藤ガス,月給44万〜64万円+賞与年2回（予定年収523万〜763万円）,仕事内容：ITコンサルタントに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験、Python実務経験、SQL実務経験、上流工程（要件定義）経験,正社員,120-1
ヘルプデスク,田中運輸有限会社,年収765万〜974万円（年俸制）,仕事内容：ヘルプデスクに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上,歓迎要件：チームでの開発経験、Python実務経験,正社員,81-0
AIエンジニア,橋本保険有限会社,年収729万〜940万円（年俸制）,職務内容：AIエンジニアに関する業務全般。,応募資格：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上,尚可条件：SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,154-2
SRE,中村通信合同会社,年収478万〜667万円（年俸制）,職務内容：SREに関する業務全般。,応募資格：実務経験3年以上,求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験,正社員,neg-9-0
QAエンジニア,伊藤通信有限会社,年収507万〜678万円（年俸制）,仕事内容：QAエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験,尚可条件：AWSまたはGCP実務経験、Python実務経験、上流工程（要件定義）経験,正社員,5-3
クラウドエンジニア,株式会社西村建設,月給29万〜43万円+賞与年2回（予定年収344万〜511万円）,職務内容：クラウドエンジニアに関する業務全般。,応募資格：実務経験1年以上／実務経験3年以上,歓迎要件：上流工程（要件定義）経験、チームでの開発経験、Python実務経験、AWSまたはGCP実務経験,正社員,58-3
QAエンジニア,有限会社佐藤情報,月給30万〜43万円+賞与年2回（予定年収357万〜519万円）,仕事内容：QAエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：Python実務経験、上流工程（要件定義）経験、チームでの開発経験,正社員,149-0
Webエンジニア,株式会社田中情報,年収754万〜857万円（年俸制）,仕事内容：Webエンジニアに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：SQL実務経験、上流工程（要件定義）経験、Python実務経験,正社員,55-0
品質管理,田中食品有限会社,年収480万〜609万円（年俸制）,仕事内容：品質管理に関する業務全般。,必須要件：SQL・データ抽出経験3年以上,求める経験・スキル：Python実務経験,正社員,146-4
ソリューションアーキテクト,株式会社藤原農林,年収725万〜932万円（年俸制）,仕事内容：ソリューションアーキテクトに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：SQL実務経験,正社員,66-0
情報システム,森情報合同会社,年収733万〜849万円（年俸制）,仕事内容：情報システムに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：SQL実務経験,正社員,127-2
Webエンジニア,株式会社伊藤通信,年収334万〜563万円（年俸制）,仕事内容：Webエンジニアに関する業務全般。,応募資格：実務経験1年以上,尚可条件：SQL実務経験、チームでの開発経験、Python実務経験、AWSまたはGCP実務経験,正社員,3-0
品質管理,株式会社長谷川保険,年収333万〜578万円（年俸制）,仕事内容：品質管理に関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,20-1
QAエンジニア,鈴木保険株式会社,月給43万〜62万円+賞与年2回（予定年収512万〜747万円）,職務内容：QAエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,歓迎要件：AWSまたはGCP実務経験、Python実務経験,正社員,118-0
情報システム,清水運輸株式会社,月給62万〜74万円+賞与年2回（予定年収750万〜893万円）,仕事内容：情報システムに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験,正社員,109-1
ネットワークエンジニア,有限会社鈴木通信,月給40万円（賞与なし）,仕事内容：ネットワークエンジニアに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,尚可条件：AWSまたはGCP実務経験、Python実務経験、上流工程（要件定義）経験,正社員,68-0
ネットワークエンジニア,田中印刷有限会社,年収357万〜463万円（年俸制）,仕事内容：ネットワークエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：SQL実務経験、チームでの開発経験,正社員,147-3
ヘルプデスク,合同会社高橋運輸,年収724万〜922万円（年俸制）,職務内容：ヘルプデスクに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／SQL・データ抽出経験3年以上,求める経験・スキル：SQL実務経験、AWSまたはGCP実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,27-1
ITアーキテクト,合同会社山崎情報,月給29万円（賞与なし）,仕事内容：ITアーキテクトに関する業務全般。,必須要件：実務経験1年以上,求める経験・スキル：SQL実務経験、Python実務経験、AWSまたはGCP実務経験,正社員,17-3
ITコンサルタント,合同会社田中電気,月給60万〜70万円+賞与年2回（予定年収721万〜842万円）,仕事内容：ITコンサルタントに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験、チームでの開発経験,正社員,136-2
クラウドエンジニア,有限会社高橋食品,年収331万〜516万円（年俸制）,職務内容：クラウドエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎／実務経験3年以上,歓迎要件：チームでの開発経験、AWSまたはGCP実務経験,正社員,88-0
セキュリティエンジニア,株式会社後藤建設,月給62万円（賞与なし）,仕事内容：セキュリティエンジニアに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,124-1
品質管理,有限会社吉田運輸,月給42万〜59万円+賞与年2回（予定年収498万〜711万円）,仕事内容：品質管理に関する業務全般。,必須要件：SQL・データ抽出経験3年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験,正社員,108-4
社内SE,橋本運輸合同会社,月給63万円（賞与なし）,職務内容：社内SEに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：AWSまたはGCP実務経験、SQL実務経験,正社員,16-3
社内SE,合同会社吉田水産,月給62万〜71万円+賞与年2回（予定年収747万〜855万円）,仕事内容：社内SEに関する業務全般。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,2-3
