case_id,case_type,company,platform,agency,url,posting_id,title,salary_min_man_yen,salary_max_man_yen,salary_type,employment_type,required_experience_summary,notes
6,coverage_gap_and_comp_structure,株式会社アプトポッド,talentio(自社),(自社),https://open.talentio.com/r/1/c/aptpod/pages/52476,52476,SRE,400,850,年俸制,正社員,クラウドインフラ構築・運用実務3年以上+Linuxサーバ構築運用実務3年以上,フルリモート可、勤務地表記は3Fのみ、業務内容箇条書きがdodaとほぼ同一文言
6,coverage_gap_and_comp_structure,株式会社アプトポッド,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015430897/,3015430897,【SRE】製造業向けIoT・ハード・クラウドなど独自のビジネスモデル展開◆原則リモート,600,1000,年俸制,正社員,必須要件個別記載なし(業務内容はTalentioとほぼ同一文言),勤務地表記は3F／5F、リモート言及なし
7,exact_match_repost,株式会社電通デジタル,hrmos,(自社),https://hrmos.co/pages/dentsudigital/jobs/1854788941544390930,1.85479E+18,ITアーキテクト（配属：XC2/DE）,500,1500,グレード別(月給制/固定残業代含む),正社員,設計上流工程・開発リード・EC基盤知識のいずれか実務2~5年以上,XC2部門、港区東新橋勤務、スーパーフレックス
7,exact_match_repost,株式会社電通デジタル,OpenWork,(自社),https://www.openwork.jp/a0C1000000x9PF9/recruit?j=079785f95956f346,079785f95956f346,【XC2】ITアーキテクト（webアプリ/EC/CMS）,500,1500,,,詳細記載なし(要約型リスティング),タイトルのXC2タグ一致、給与帯がHRMOSと完全一致
8,blended_tier,株式会社システナ,hrmos,(自社),https://hrmos.co/pages/systena/jobs/0000075,75,ヘルプデスク,,,"月給227,000円〜(年俸表記なし)",正社員,未経験可、ヒューマンスキル重視,汐留ビルディング14F、エントリー層ポジション
8,blended_tier,株式会社システナ,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015552832/,3015552832,【ヘルプデスク経験歓迎】顧客社内SEリーダー（業務改善提案など）◆残業月13h程度／年休129日◆,430,600,年俸制,正社員,ヘルプデスク・テクニカルサポート経験など必須条件2つ以上,汐留ビルディング14F/16F(HRMOSと同一所在地)、リーダー候補ポジション、残業月13h記載がHRMOSと一致
9,exact_match_repost,株式会社マネーフォワード,hrmos,(自社),https://hrmos.co/pages/moneyforward/jobs/2145776216565051402,2.14578E+18,【SRE (Site Reliability Engineer)】デジタルバンク_東京※新会社に在籍出向,640,1500,月給制(固定残業45h/深夜40h含む),正社員,SRE・DevOps・インフラ領域実務3年以上+AWS運用経験+Kubernetes/ECS経験,田町msb Tamachi 21F、SMBCマネーフォワード銀行設立準備との在籍出向
9,exact_match_repost,株式会社マネーフォワード,OpenWork,(自社),https://www.openwork.jp/a0C1000000sgO47/recruit?j=894e6af0862efcf2,894e6af0862efcf2,【SRE (Site Reliability Engineer)】デジタルバンク_東京※新会社に在籍出向,640,1500,月給制(固定残業45h),正社員,SRE・DevOps・インフラ領域実務3年以上+AWS運用経験+Kubernetes/ECS経験,タイトル・所在地・給与帯完全一致、更新日2026-06-15
10,exact_match_repost,Japan Digital Design 株式会社,talentio(自社),(自社),https://open.talentio.com/r/1/c/japan-d2/pages/109637,109637,QAエンジニア,600,1200,年俸制(固定残業40h),正社員,WebアプリケーションQA業務経験+テスト戦略/設計経験+JLPT N1以上,AIアプリケーション(RAG/AI Agent)QA、MUFGグループ、業務内容がdodaと一言一句同一
10,exact_match_repost,Japan Digital Design 株式会社,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015440389/,3015440389,【三越前駅すぐ】QAエンジニア◆AIアプリケーション開発プロジェクトのQA領域担当◆MUFGグループ,600,1200,年俸制(固定残業40h),正社員,WebアプリケーションQA業務経験(JLPT言及なし),業務内容がTalentioと一言一句同一、勤務地・給与完全一致
11,exact_match_repost,株式会社インテージテクノスフィア,hrmos,(自社),https://hrmos.co/pages/intage-group/jobs/2055931325862576158,2.05593E+18,ITSP_【プリセールス】ITコンサルタント,,,表内給与記載なし,,ITソリューション営業/ITプリセールス/PM/上流工程経験いずれか3年以上,業務内容がdodaと一言一句同一
11,exact_match_repost,株式会社インテージテクノスフィア,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015476028/,3015476028,【週3在宅】ITコンサルタント◆プライムベンダーとして顧客に企画提案/エンジニアから挑戦可能！,820,1000,月給制(賞与5.5ヶ月分込み),正社員,エンジニアPM経験or上流工程経験,勤務地西東京市谷戸町、業務内容がHRMOSと一言一句同一
12,blended_tier,ファンズ株式会社,talentio(自社),(自社),https://open.talentio.com/r/1/c/crowdport_entry/pages/123760,123760,コーポレートエンジニア,500,700,,正社員,IDaaS/SaaS運用管理経験,恵比寿、ID管理・セキュリティ運用・ヘルプデスク業務
12,blended_tier,ファンズ株式会社,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015432623/,3015432623,コーポレートIT／リーダー候補◆貸付投資のオンラインマーケット『Funds』◆週2リモート可,600,800,年俸制,正社員,IDaaS運用経験(Okta等)+SaaS管理経験3年以上,本文中に「コーポレートエンジニアとしてご活躍いただける方を求めております」明記。Talentioのexact職種名を言及。リーダー候補枠で上位tier
13,exact_match_repost,株式会社ブシロード,hrmos,(自社),https://hrmos.co/pages/bushiroad/jobs/0000158,158,社内SE（社内インフラ）,400,550,月給制(みなし残業45h),正社員,インフラ機器運用保守経験2年程度orクラウド利用経験2年程度,中野坂上、社内システム部12名体制、セキュリティ改善・IT資産管理
13,exact_match_repost,株式会社ブシロード,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015210539/,3015210539,【社内SE｜インフラ】保守運用・セキュリティ改善など／二卒歓迎／総合エンタメ企業／中野坂上駅直結,400,550,月給制(みなし残業45h),正社員,インフラ機器運用保守経験2年目安orクラウド利用経験2年目安,勤務地・給与・雇用条件がHRMOSと完全一致
14,exact_match_repost,株式会社サーバーワークス,hrmos,(自社),https://hrmos.co/pages/serverworks/jobs/1010-204,1010-204,【SWX_AS】 フロントエンドエンジニア,600,850,月給制(固定残業30h),正社員,React/Next.js実務経験,フルリモート90%社員、AWS Lambda/DynamoDB/CDK連携
14,exact_match_repost,株式会社サーバーワークス,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015131023/,3015131023,【フルリモート可】フロントエンドエンジニア(React / Next.js)◆AWS×AI開発,600,850,月給制(手当月2万円),正社員,React/Next.js実務経験,給与完全一致、掲載期限2026-08-19(만료임박)
15,coverage_gap_and_comp_structure,株式会社エクサ,hrmos,(自社),https://hrmos.co/pages/exa/jobs/0000010,10,首都圏/Webアプリケーションエンジニア/リーダー候補,500,900,月給制(賞与年2回4.5ヶ月分),,Webサイト/Web業務システムのPoC〜設計〜開発〜運用経験,横浜みなとみらい、老朽化システム再構築・publicクラウド移行
15,coverage_gap_and_comp_structure,株式会社エクサ,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015401564/,3015401564,【キンドリル×JFEグループ】Webアプリケーションエンジニア(リーダー候補)◆リモート可／WLB◎,600,1000,月給制,正社員,業務内容がHRMOSとほぼ同一(老朽化システム再構築・クラウド移行・新規スモールスタート),タイトルの中核部分(Webアプリケーションエンジニア(リーダー候補))は同一、給与帯はHRMOSよりやや高め
16,exact_match_repost,株式会社Photosynth,hrmos,(自社),https://hrmos.co/pages/photosynth/jobs/1778696300918071454,1.7787E+18,Webアプリケーションエンジニア（ID事業）／ミドル,,,表内給与記載なし,,Webサービス要件定義〜設計〜開発〜運用保守経験,Akerunデジタル身分証、Ruby on Rails/Go/Vue.js/React、業務内容がdodaと一言一句同一
16,exact_match_repost,株式会社Photosynth,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015338375/,3015338375,Webアプリケーションエンジニア／ミドル◆Akerunデジタル身分証◆需要増加中,600,900,月給制(裁量労働制),正社員,Webサービス要件定義〜設計〜開発〜運用保守経験,業務内容・技術スタックがHRMOSと一言一句同一
17,coverage_gap_and_comp_structure,株式会社MonotaRO,hrmos,(自社),https://hrmos.co/pages/monotaro/jobs/104B1223_002,104B1223_002,QAエンジニア,550,1000,年収提示のみ,正社員,テスト計画・設計・実施実務経験3年以上、プログラミング知識と実務経験,大阪本社/東京オフィス選択制、業務内容がdodaと一言一句同一(EC・基幹システムのインプロセスQA/QAコーチ)
17,coverage_gap_and_comp_structure,株式会社MonotaRO,doda,(direct),https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015164751/,3015164751,【大阪】QAエンジニア◆品質保証や品質文化の浸透／プライム上場・CMでおなじみモノタロウ／在宅可,600,1000,月給制,正社員,テスト計画・設計・実施実務経験3年以上、プログラミング知識と実務経験,勤務地は大阪限定、業務内容がHRMOSと一言一句同一、給与下限のみHRMOSよりやや高い
18,coverage_gap_and_comp_structure,ディップ株式会社,hrmos,(自社),https://hrmos.co/pages/dip-net/jobs/ENG303,ENG303,QAエンジニア（札幌オフィス）／リーダー候補,,,表内給与記載なし,正社員,QAリーダー・マネージャー経験3年以上、自動テストの導入や運用・メンテナンス経験,福岡/札幌拠点の新規QA組織立ち上げ、生成AI(Gemini/Devin)・MagicPod活用。選考フロー(エントリー→書類選考→一次面接→適性検査ミキワメ→最終面接CTO/役員)がGeeklyと一言一句同一
18,coverage_gap_and_comp_structure,ディップ株式会社,geekly,(エージェント),https://www.geekly.biz/open-detail/331038,331038,QAエンジニア,500,850,月給制,正社員,QAリーダー・マネージャー経験3年以上、自動テストの導入や運用・メンテナンス経験,勤務地表記は東京都港区(HRMOSは福岡/札幌拠点)、ミッション文言・必須要件・選考フローがHRMOSとほぼ同一だが AIツール詳細等は省略。ログイン限定URL(Geeklyマイページ)
19,exact_match_repost,株式会社SmartHR,talentio,(自社),https://open.talentio.com/r/1/c/smarthr/pages/44976,44976,プリセールス/DXコンサルタント,700,1050,月給+賞与制,正社員,プリセールス業務3年以上、ITコンサル等でのシステム要件定義・顧客提案経験,東京/名古屋/大阪/福岡の4拠点募集、業務内容がGeeklyと一言一句同一
19,exact_match_repost,株式会社SmartHR,geekly,(エージェント),https://www.geekly.biz/open-detail/415662,415662,プリセールス／DXコンサルタント【7年連続シェアNo.1／人事労務クラウドサービス】,700,1050,月給+賞与制,正社員,プリセールス業務3年以上、ITコンサル等でのシステム要件定義・顧客提案経験,業務内容・必須要件・給与レンジがTalentioと一言一句同一。ログイン限定URL(Geeklyマイページ)
